blog_title,contribution_pk,description,id,jsondata,markup_description,name,ordinal_qualifier,pk,representation
,35,,35A,{},,Plurality in Independent Personal Pronouns,A,35,261
,36,,36A,{},,The Associative Plural,A,36,236
,37,,37A,{},,Definite Articles,A,37,620
,38,,38A,{},,Indefinite Articles,A,38,534
,39,,39A,{},,Inclusive/Exclusive Distinction in Independent Pronouns,A,39,200
,39,,39B,{},,Inclusive/Exclusive Forms in Pama-Nyungan,B,182,71
,40,,40A,{},,Inclusive/Exclusive Distinction in Verbal Inflection,A,40,200
,41,,41A,{},,Distance Contrasts in Demonstratives,A,41,234
,42,,42A,{},,Pronominal and Adnominal Demonstratives,A,42,201
,43,,43A,{},,Third Person Pronouns and Demonstratives,A,43,225
,44,,44A,{},,Gender Distinctions in Independent Personal Pronouns,A,44,378
,45,,45A,{},,Politeness Distinctions in Pronouns,A,45,207
,46,,46A,{},,Indefinite Pronouns,A,46,326
,47,,47A,{},,Intensifiers and Reflexive Pronouns,A,47,168
,48,,48A,{},,Person Marking on Adpositions,A,48,378
,49,,49A,{},,Number of Cases,A,49,261
,50,,50A,{},,Asymmetrical Case-Marking,A,50,261
,51,,51A,{},,Position of Case Affixes,A,51,1031
,52,,52A,{},,Comitatives and Instrumentals,A,52,322
,53,,53A,{},,Ordinal Numerals,A,53,321
,54,,54A,{},,Distributive Numerals,A,54,251
,55,,55A,{},,Numeral Classifiers,A,55,400
,56,,56A,{},,Conjunctions and Universal Quantifiers,A,56,116
,57,,57A,{},,Position of Pronominal Possessive Affixes,A,57,902
,58,,58A,{},,Obligatory Possessive Inflection,A,58,244
,58,,58B,{},,Number of Possessive Nouns,B,191,243
,59,,59A,{},,Possessive Classification,A,59,243
,60,,60A,{},,"Genitives, Adjectives and Relative Clauses",A,60,138
,61,,61A,{},,Adjectives without Nouns,A,61,124
,62,,62A,{},,Action Nominal Constructions,A,62,168
,63,,63A,{},,Noun Phrase Conjunction,A,63,234
,64,,64A,{},,Nominal and Verbal Conjunction,A,64,301
,65,,65A,{},,Perfective/Imperfective Aspect,A,65,222
,66,,66A,{},,The Past Tense,A,66,222
,67,,67A,{},,The Future Tense,A,67,222
,68,,68A,{},,The Perfect,A,68,222
,69,,69A,{},,Position of Tense-Aspect Affixes,A,69,1131
,70,,70A,{},,The Morphological Imperative,A,70,547
,71,,71A,{},,The Prohibitive,A,71,495
,72,,72A,{},,Imperative-Hortative Systems,A,72,375
,73,,73A,{},,The Optative,A,73,319
,74,,74A,{},,Situational Possibility,A,74,234
,75,,75A,{},,Epistemic Possibility,A,75,240
,76,,76A,{},,Overlap between Situational and Epistemic Modal Marking,A,76,207
,77,,77A,{},,Semantic Distinctions of Evidentiality,A,77,418
,78,,78A,{},,Coding of Evidentiality,A,78,418
,79,,79A,{},,Suppletion According to Tense and Aspect,A,79,193
,79,,79B,{},,Suppletion in Imperatives and Hortatives,B,192,193
,80,,80A,{},,Verbal Number and Suppletion,A,80,193
,81,,81A,{},,"Order of Subject, Object and Verb",A,81,1377
,81,,81B,{},,"Languages with two Dominant Orders of Subject, Object, and Verb",B,168,67
,82,,82A,{},,Order of Subject and Verb,A,82,1497
,83,,83A,{},,Order of Object and Verb,A,83,1519
,84,,84A,{},,"Order of Object, Oblique, and Verb",A,84,500
,85,,85A,{},,Order of Adposition and Noun Phrase,A,85,1183
,86,,86A,{},,Order of Genitive and Noun,A,86,1249
,87,,87A,{},,Order of Adjective and Noun,A,87,1366
,88,,88A,{},,Order of Demonstrative and Noun,A,88,1224
,89,,89A,{},,Order of Numeral and Noun,A,89,1153
,90,,90A,{},,Order of Relative Clause and Noun,A,90,824
,90,,90B,{},,Prenominal relative clauses,B,144,191
,90,,90C,{},,Postnominal relative clauses,C,146,620
,90,,90D,{},,Internally-headed relative clauses,D,165,63
,90,,90E,{},,Correlative relative clauses,E,154,23
,90,,90F,{},,Adjoined relative clauses,F,171,10
,90,,90G,{},,Double-headed relative clauses,G,153,5
,91,,91A,{},,Order of Degree Word and Adjective,A,91,481
,92,,92A,{},,Position of Polar Question Particles,A,92,884
,93,,93A,{},,Position of Interrogative Phrases in Content Questions,A,93,902
,94,,94A,{},,Order of Adverbial Subordinator and Clause,A,94,659
,95,,95A,{},,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,A,95,1142
,96,,96A,{},,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,A,96,879
,97,,97A,{},,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,A,97,1316
,98,,98A,{},,Alignment of Case Marking of Full Noun Phrases,A,98,190
,99,,99A,{},,Alignment of Case Marking of Pronouns,A,99,172
,100,,100A,{},,Alignment of Verbal Person Marking,A,100,380
,101,,101A,{},,Expression of Pronominal Subjects,A,101,711
,102,,102A,{},,Verbal Person Marking,A,102,378
,103,,103A,{},,Third Person Zero of Verbal Person Marking,A,103,380
,104,,104A,{},,Order of Person Markers on the Verb,A,104,379
,105,,105A,{},,Ditransitive Constructions: The Verb 'Give',A,105,378
,106,,106A,{},,Reciprocal Constructions,A,106,175
,107,,107A,{},,Passive Constructions,A,107,373
,108,,108A,{},,Antipassive Constructions,A,108,194
,108,,108B,{},,Productivity of the Antipassive Construction,B,189,186
,109,,109A,{},,Applicative Constructions,A,109,183
,109,,109B,{},,Other Roles of Applied Objects,B,185,183
,110,,110A,{},,Periphrastic Causative Constructions,A,110,118
,111,,111A,{},,Nonperiphrastic Causative Constructions,A,111,310
,112,,112A,{},,Negative Morphemes,A,112,1157
,113,,113A,{},,Symmetric and Asymmetric Standard Negation,A,113,297
,114,,114A,{},,Subtypes of Asymmetric Standard Negation,A,114,297
,115,,115A,{},,Negative Indefinite Pronouns and Predicate Negation,A,115,206
,116,,116A,{},,Polar Questions,A,116,955
,117,,117A,{},,Predicative Possession,A,117,240
,118,,118A,{},,Predicative Adjectives,A,118,386
,119,,119A,{},,Nominal and Locational Predication,A,119,386
,120,,120A,{},,Zero Copula for Predicate Nominals,A,120,386
,121,,121A,{},,Comparative Constructions,A,121,167
,122,,122A,{},,Relativization on Subjects,A,122,166
,123,,123A,{},,Relativization on Obliques,A,123,112
,124,,124A,{},,'Want' Complement Subjects,A,124,283
,125,,125A,{},,Purpose Clauses,A,125,170
,126,,126A,{},,'When' Clauses,A,126,174
,127,,127A,{},,Reason Clauses,A,127,169
,128,,128A,{},,Utterance Complement Clauses,A,128,143
,129,,129A,{},,Hand and Arm,A,129,617
,130,,130A,{},,Finger and Hand,A,130,593
,130,,130B,{},,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',B,190,72
,131,,131A,{},,Numeral Bases,A,131,196
,132,,132A,{},,Number of Non-Derived Basic Colour Categories,A,132,119
,133,,133A,{},,Number of Basic Colour Categories,A,133,119
,134,,134A,{},,Green and Blue,A,134,120
,135,,135A,{},,Red and Yellow,A,135,120
,136,,136A,{},,M-T Pronouns,A,136,230
,136,,136B,{},,M in First Person Singular,B,184,230
,137,,137A,{},,N-M Pronouns,A,137,230
,137,,137B,{},,M in Second Person Singular,B,183,230
,138,,138A,{},,Tea,A,138,230
,139,,139A,{},,Irregular Negatives in Sign Languages,A,139,35
,140,,140A,{},,Question Particles in Sign Languages,A,140,38
,141,,141A,{},,Writing Systems,A,141,6
,142,,142A,{},,Para-Linguistic Usages of Clicks,A,142,143
,143,,143A,{},,Order of Negative Morpheme and Verb,A,172,1324
,143,,143B,{},,Obligatory Double Negation,B,158,119
,143,,143C,{},,Optional Double Negation,C,170,81
,143,,143D,{},,Optional Triple Negation,D,181,6
,143,,143E,{},,Preverbal Negative Morphemes,E,169,1324
,143,,143F,{},,Postverbal Negative Morphemes,F,143,1324
,143,,143G,{},,Minor morphological means of signaling negation,G,180,1324
,144,,144A,{},,"Position of Negative Word With Respect to Subject, Object, and Verb",A,152,1189
,144,,144B,{},,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,B,163,609
,144,,144C,{},,Languages with different word order in negative clauses,C,178,28
,144,,144D,{},,The Position of Negative Morphemes in SVO Languages,D,167,463
,144,,144E,{},,Multiple Negative Constructions in SVO Languages,E,166,48
,144,,144F,{},,Obligatory Double Negation in SVO languages,F,164,56
,144,,144G,{},,Optional Double Negation in SVO languages,G,161,35
,144,,144H,{},,NegSVO Order,H,177,420
,144,,144I,{},,SNegVO Order,I,156,421
,144,,144J,{},,SVNegO Order,J,148,446
,144,,144K,{},,SVONeg Order,K,162,446
,144,,144L,{},,The Position of Negative Morphemes in SOV Languages,L,176,572
,144,,144M,{},,Multiple Negative Constructions in SOV Languages,M,159,54
,144,,144N,{},,Obligatory Double Negation in SOV languages,N,149,45
,144,,144O,{},,Optional Double Negation in SOV languages,O,174,31
,144,,144P,{},,NegSOV Order,P,147,408
,144,,144Q,{},,SNegOV Order,Q,175,408
,144,,144R,{},,SONegV Order,R,157,411
,144,,144S,{},,SOVNeg Order,S,150,489
,144,,144T,{},,The Position of Negative Morphemes in Verb-Initial Languages,T,179,152
,144,,144U,{},,Double negation in verb-initial languages,U,160,17
,144,,144V,{},,Verb-Initial with Preverbal Negative,V,155,152
,144,,144W,{},,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,W,173,151
,144,,144X,{},,Verb-Initial with Clause-Final Negative,X,151,151
,144,,144Y,{},,The Position of Negative Morphemes in Object-Initial Languages,Y,145,16
